,YEAR,MONTH,Rate Death per 100000 inhabitants,DEPARTMENT,dateInt,Date,Year_Month,Death Rate
56,2018,9,25.821221498990475,SANTANDER,2018091,2018-09-01,2018-09,0.00025821221498990474
57,2018,10,17.065692698056036,SANTANDER,2018101,2018-10-01,2018-10,0.00017065692698056036
58,2018,11,19.055247231923484,SANTANDER,2018111,2018-11-01,2018-11,0.00019055247231923483
59,2018,12,23.43103155469073,SANTANDER,2018121,2018-12-01,2018-12,0.00023431031554690729
60,2018,1,28.56529628171805,TOLIMA,2018011,2018-01-01,2018-01,0.00028565296281718054
61,2018,2,27.278902707769337,TOLIMA,2018021,2018-02-01,2018-02,0.0002727890270776934
62,2018,3,18.14659357398495,TOLIMA,2018031,2018-03-01,2018-03,0.00018146593573984952
63,2018,4,20.571444597164053,TOLIMA,2018041,2018-04-01,2018-04,0.00020571444597164052
64,2018,5,20.36581307360373,TOLIMA,2018051,2018-05-01,2018-05,0.0002036581307360373
65,2018,6,23.14350297138739,TOLIMA,2018061,2018-06-01,2018-06,0.0002314350297138739
66,2018,7,28.12527719903311,TOLIMA,2018071,2018-07-01,2018-07,0.0002812527719903311
67,2018,8,20.733076077550542,TOLIMA,2018081,2018-08-01,2018-08,0.00020733076077550543
68,2018,9,30.20882262494022,TOLIMA,2018091,2018-09-01,2018-09,0.0003020882262494022
69,2018,10,26.77412521725518,TOLIMA,2018101,2018-10-01,2018-10,0.00026774125217255177
70,2018,11,26.68945567139105,TOLIMA,2018111,2018-11-01,2018-11,0.0002668945567139105
71,2018,12,28.180800268286145,TOLIMA,2018121,2018-12-01,2018-12,0.00028180800268286146
72,2018,1,25.447690213519937,VALLE DEL CAUCA,2018011,2018-01-01,2018-01,0.0002544769021351994
73,2018,2,20.575523358326546,VALLE DEL CAUCA,2018021,2018-02-01,2018-02,0.00020575523358326545
74,2018,3,16.5280904484607,VALLE DEL CAUCA,2018031,2018-03-01,2018-03,0.000165280904484607
75,2018,4,20.060790132932432,VALLE DEL CAUCA,2018041,2018-04-01,2018-04,0.00020060790132932433
76,2018,5,15.81870202079766,VALLE DEL CAUCA,2018051,2018-05-01,2018-05,0.0001581870202079766
77,2018,6,19.601222791901893,VALLE DEL CAUCA,2018061,2018-06-01,2018-06,0.00019601222791901894
78,2018,7,24.803490740035617,VALLE DEL CAUCA,2018071,2018-07-01,2018-07,0.0002480349074003562
79,2018,8,14.6934385228305,VALLE DEL CAUCA,2018081,2018-08-01,2018-08,0.000146934385228305
80,2018,9,17.038563953366516,VALLE DEL CAUCA,2018091,2018-09-01,2018-09,0.00017038563953366515
81,2018,10,17.679700924024594,VALLE DEL CAUCA,2018101,2018-10-01,2018-10,0.00017679700924024593
82,2018,11,17.62289949917707,VALLE DEL CAUCA,2018111,2018-11-01,2018-11,0.0001762289949917707
83,2018,12,14.702765639313604,VALLE DEL CAUCA,2018121,2018-12-01,2018-12,0.00014702765639313604
84,2018,1,6.3035772466585085,ANTIOQUIA,2018011,2018-01-01,2018-01,6.303577246658509e-05
85,2018,2,9.533469823876876,ANTIOQUIA,2018021,2018-02-01,2018-02,9.533469823876876e-05
86,2018,3,12.367246214677705,ANTIOQUIA,2018031,2018-03-01,2018-03,0.00012367246214677706
87,2018,4,10.129721108967528,ANTIOQUIA,2018041,2018-04-01,2018-04,0.00010129721108967528
88,2018,5,9.10135909205384,ANTIOQUIA,2018051,2018-05-01,2018-05,9.10135909205384e-05
89,2018,6,14.883167822676018,ANTIOQUIA,2018061,2018-06-01,2018-06,0.0001488316782267602
90,2018,7,12.159142833197404,ANTIOQUIA,2018071,2018-07-01,2018-07,0.00012159142833197404
91,2018,8,15.210277866359316,ANTIOQUIA,2018081,2018-08-01,2018-08,0.00015210277866359317
92,2018,9,8.259451068816265,ANTIOQUIA,2018091,2018-09-01,2018-09,8.259451068816265e-05
93,2018,10,16.76285694101522,ANTIOQUIA,2018101,2018-10-01,2018-10,0.00016762856941015218
94,2018,11,16.39232479339654,ANTIOQUIA,2018111,2018-11-01,2018-11,0.0001639232479339654
95,2018,12,14.185597474836849,ANTIOQUIA,2018121,2018-12-01,2018-12,0.00014185597474836848
96,2018,1,18.716711820432412,NACIONAL,2018011,2018-01-01,2018-01,0.00018716711820432411
97,2018,2,16.452665655434124,NACIONAL,2018021,2018-02-01,2018-02,0.00016452665655434124
98,2018,3,18.011846803152416,NACIONAL,2018031,2018-03-01,2018-03,0.00018011846803152415
99,2018,4,16.518256412709054,NACIONAL,2018041,2018-04-01,2018-04,0.00016518256412709055
100,2018,5,17.57175513445208,NACIONAL,2018051,2018-05-01,2018-05,0.0001757175513445208
101,2018,6,18.53216083368528,NACIONAL,2018061,2018-06-01,2018-06,0.00018532160833685277
102,2018,7,18.017842594127725,NACIONAL,2018071,2018-07-01,2018-07,0.00018017842594127725
103,2018,8,17.77739722181218,NACIONAL,2018081,2018-08-01,2018-08,0.0001777739722181218
104,2018,9,16.441964617100577,NACIONAL,2018091,2018-09-01,2018-09,0.00016441964617100577
105,2018,10,16.95406819285618,NACIONAL,2018101,2018-10-01,2018-10,0.0001695406819285618
106,2018,11,16.628659055599552,NACIONAL,2018111,2018-11-01,2018-11,0.00016628659055599552
107,2018,12,20.30732909240384,NACIONAL,2018121,2018-12-01,2018-12,0.0002030732909240384
108,2019,1,15.862783773406797,ATLANTICO,2019011,2019-01-01,2019-01,0.00015862783773406796
109,2019,2,20.82453651303532,ATLANTICO,2019021,2019-02-01,2019-02,0.0002082453651303532
110,2019,3,18.934221532042063,ATLANTICO,2019031,2019-03-01,2019-03,0.00018934221532042062
111,2019,4,21.009866723777943,ATLANTICO,2019041,2019-04-01,2019-04,0.00021009866723777944
112,2019,5,17.89226595368029,ATLANTICO,2019051,2019-05-01,2019-05,0.00017892265953680292
113,2019,6,18.706438058329727,ATLANTICO,2019061,2019-06-01,2019-06,0.00018706438058329727
114,2019,7,17.961185537618217,ATLANTICO,2019071,2019-07-01,2019-07,0.00017961185537618217
115,2019,8,19.217809053472063,ATLANTICO,2019081,2019-08-01,2019-08,0.00019217809053472063
116,2019,9,11.708088111367182,ATLANTICO,2019091,2019-09-01,2019-09,0.00011708088111367182
117,2019,10,17.249813541413882,ATLANTICO,2019101,2019-10-01,2019-10,0.00017249813541413882
118,2019,11,16.782675920346307,ATLANTICO,2019111,2019-11-01,2019-11,0.00016782675920346308
119,2019,12,18.16959772883081,ATLANTICO,2019121,2019-12-01,2019-12,0.0001816959772883081
120,2019,1,15.1686191248069,BOGOTA D.C.,2019011,2019-01-01,2019-01,0.000151686191248069
121,2019,2,11.51716711832528,BOGOTA D.C.,2019021,2019-02-01,2019-02,0.00011517167118325281
122,2019,3,13.015816673608647,BOGOTA D.C.,2019031,2019-03-01,2019-03,0.00013015816673608648
123,2019,4,13.13227454739938,BOGOTA D.C.,2019041,2019-04-01,2019-04,0.0001313227454739938
124,2019,5,14.4679991781405,BOGOTA D.C.,2019051,2019-05-01,2019-05,0.000144679991781405
125,2019,6,14.2741019224411,BOGOTA D.C.,2019061,2019-06-01,2019-06,0.00014274101922441098
126,2019,7,15.448653065175684,BOGOTA D.C.,2019071,2019-07-01,2019-07,0.00015448653065175684
127,2019,8,14.97422413610728,BOGOTA D.C.,2019081,2019-08-01,2019-08,0.0001497422413610728
128,2019,9,13.23071678487712,BOGOTA D.C.,2019091,2019-09-01,2019-09,0.0001323071678487712
129,2019,10,12.18979141392906,BOGOTA D.C.,2019101,2019-10-01,2019-10,0.00012189791413929059
130,2019,11,11.842904420109504,BOGOTA D.C.,2019111,2019-11-01,2019-11,0.00011842904420109504
131,2019,12,14.694116235247138,BOGOTA D.C.,2019121,2019-12-01,2019-12,0.00014694116235247138
132,2019,1,15.959826262582888,HUILA,2019011,2019-01-01,2019-01,0.00015959826262582888
133,2019,2,15.31548709856848,HUILA,2019021,2019-02-01,2019-02,0.0001531548709856848
134,2019,3,15.349204172418128,HUILA,2019031,2019-03-01,2019-03,0.0001534920417241813
135,2019,4,12.63305497153934,HUILA,2019041,2019-04-01,2019-04,0.0001263305497153934
136,2019,5,12.996142980168509,HUILA,2019051,2019-05-01,2019-05,0.0001299614298016851
137,2019,6,15.5597888674319,HUILA,2019061,2019-06-01,2019-06,0.000155597888674319
138,2019,7,12.768597519243745,HUILA,2019071,2019-07-01,2019-07,0.00012768597519243746
139,2019,8,12.295995544514552,HUILA,2019081,2019-08-01,2019-08,0.0001229599554451455
140,2019,9,12.17234259164925,HUILA,2019091,2019-09-01,2019-09,0.00012172342591649249
141,2019,10,11.540184840014932,HUILA,2019101,2019-10-01,2019-10,0.00011540184840014932
142,2019,11,14.499629415944332,HUILA,2019111,2019-11-01,2019-11,0.00014499629415944332
143,2019,12,17.098165030163834,HUILA,2019121,2019-12-01,2019-12,0.00017098165030163834
144,2019,1,25.873040353619004,NARIÑO,2019011,2019-01-01,2019-01,0.00025873040353619
145,2019,2,20.760585147930037,NARIÑO,2019021,2019-02-01,2019-02,0.00020760585147930037
146,2019,3,21.01239034815745,NARIÑO,2019031,2019-03-01,2019-03,0.0002101239034815745
147,2019,4,20.532238419075696,NARIÑO,2019041,2019-04-01,2019-04,0.00020532238419075695
148,2019,5,27.405232035133025,NARIÑO,2019051,2019-05-01,2019-05,0.00027405232035133026
149,2019,6,34.88428560061153,NARIÑO,2019061,2019-06-01,2019-06,0.00034884285600611525
150,2019,7,25.02687647972941,NARIÑO,2019071,2019-07-01,2019-07,0.0002502687647972941
151,2019,8,24.809301170508444,NARIÑO,2019081,2019-08-01,2019-08,0.00024809301170508445
152,2019,9,13.147032849813826,NARIÑO,2019091,2019-09-01,2019-09,0.00013147032849813826
153,2019,10,16.612117374246456,NARIÑO,2019101,2019-10-01,2019-10,0.00016612117374246457
154,2019,11,17.15413588636484,NARIÑO,2019111,2019-11-01,2019-11,0.00017154135886364842
155,2019,12,22.35437597654952,NARIÑO,2019121,2019-12-01,2019-12,0.00022354375976549518
156,2019,1,13.893976227881057,SANTANDER,2019011,2019-01-01,2019-01,0.00013893976227881055
157,2019,2,26.88116413444898,SANTANDER,2019021,2019-02-01,2019-02,0.0002688116413444898
158,2019,3,20.290715573791037,SANTANDER,2019031,2019-03-01,2019-03,0.00020290715573791036
159,2019,4,19.400808117654964,SANTANDER,2019041,2019-04-01,2019-04,0.00019400808117654966
160,2019,5,22.391282260972027,SANTANDER,2019051,2019-05-01,2019-05,0.00022391282260972027
161,2019,6,22.055591809198518,SANTANDER,2019061,2019-06-01,2019-06,0.00022055591809198519
162,2019,7,20.0651689827642,SANTANDER,2019071,2019-07-01,2019-07,0.000200651689827642
163,2019,8,17.367364442023284,SANTANDER,2019081,2019-08-01,2019-08,0.00017367364442023284
164,2019,9,20.8560633405686,SANTANDER,2019091,2019-09-01,2019-09,0.000208560633405686
165,2019,10,17.398273489686492,SANTANDER,2019101,2019-10-01,2019-10,0.00017398273489686492
166,2019,11,15.661736719076282,SANTANDER,2019111,2019-11-01,2019-11,0.00015661736719076283
167,2019,12,18.713842422241918,SANTANDER,2019121,2019-12-01,2019-12,0.00018713842422241918
168,2019,1,30.33823260788581,TOLIMA,2019011,2019-01-01,2019-01,0.00030338232607885813
169,2019,2,28.95327110661273,TOLIMA,2019021,2019-02-01,2019-02,0.00028953271106612726
170,2019,3,20.23127679993083,TOLIMA,2019031,2019-03-01,2019-03,0.00020231276799930828
171,2019,4,23.459759104125645,TOLIMA,2019041,2019-04-01,2019-04,0.00023459759104125645
172,2019,5,22.08090687863039,TOLIMA,2019051,2019-05-01,2019-05,0.00022080906878630392
173,2019,6,23.54718008427865,TOLIMA,2019061,2019-06-01,2019-06,0.00023547180084278652
174,2019,7,30.26044372840139,TOLIMA,2019071,2019-07-01,2019-07,0.0003026044372840139
175,2019,8,26.233213968744877,TOLIMA,2019081,2019-08-01,2019-08,0.0002623321396874488
176,2019,9,29.282692424313684,TOLIMA,2019091,2019-09-01,2019-09,0.0002928269242431368
177,2019,10,25.95814225226192,TOLIMA,2019101,2019-10-01,2019-10,0.0002595814225226192
178,2019,11,25.245974985022777,TOLIMA,2019111,2019-11-01,2019-11,0.00025245974985022777
179,2019,12,25.71152084261164,TOLIMA,2019121,2019-12-01,2019-12,0.0002571152084261164
180,2019,1,23.955792971603262,VALLE DEL CAUCA,2019011,2019-01-01,2019-01,0.00023955792971603262
181,2019,2,21.183397435974165,VALLE DEL CAUCA,2019021,2019-02-01,2019-02,0.00021183397435974166
182,2019,3,20.12671816726125,VALLE DEL CAUCA,2019031,2019-03-01,2019-03,0.00020126718167261248
183,2019,4,20.12157032699591,VALLE DEL CAUCA,2019041,2019-04-01,2019-04,0.00020121570326995912
184,2019,5,19.390034760261404,VALLE DEL CAUCA,2019051,2019-05-01,2019-05,0.00019390034760261403
185,2019,6,20.37923059865958,VALLE DEL CAUCA,2019061,2019-06-01,2019-06,0.0002037923059865958
