,YEAR,DEPARTMENT,"Death Rate per 100,000 inhabitants",DATA,Death Rate
0,2018,ANTIOQUIA,12.107349357211007,LA ASCENSION,0.00012107349357211006
1,2018,ATLANTICO,16.977818096787583,LA ASCENSION,0.00016977818096787584
2,2018,BOGOTA D.C.,12.377095762509148,LA ASCENSION,0.0001237709576250915
3,2018,HUILA,13.769767045838272,LA ASCENSION,0.0001376976704583827
4,2018,NACIONAL,17.66088811948045,LA ASCENSION,0.0001766088811948045
5,2018,NARIÑO,23.991228931021336,LA ASCENSION,0.00023991228931021335
6,2018,SANTANDER,21.60832652700907,LA ASCENSION,0.0002160832652700907
7,2018,TOLIMA,24.89859252200698,LA ASCENSION,0.0002489859252200698
8,2018,VALLE DEL CAUCA,18.71440652039059,LA ASCENSION,0.0001871440652039059
9,2019,ANTIOQUIA,14.263908071247862,LA ASCENSION,0.00014263908071247863
10,2019,ATLANTICO,17.859940203943385,LA ASCENSION,0.00017859940203943385
11,2019,BOGOTA D.C.,13.663032051680633,LA ASCENSION,0.00013663032051680632
12,2019,HUILA,14.015701607853323,LA ASCENSION,0.00014015701607853322
13,2019,NACIONAL,18.837522966103897,LA ASCENSION,0.00018837522966103898
14,2019,NARIÑO,22.464300970144937,LA ASCENSION,0.00022464300970144937
15,2019,SANTANDER,19.581332293358944,LA ASCENSION,0.00019581332293358943
16,2019,TOLIMA,25.94188456523503,LA ASCENSION,0.0002594188456523503
17,2019,VALLE DEL CAUCA,19.532132631546734,LA ASCENSION,0.00019532132631546733
18,2020,ANTIOQUIA,12.18689349320062,LA ASCENSION,0.0001218689349320062
19,2020,ATLANTICO,21.546639406321123,LA ASCENSION,0.00021546639406321122
20,2020,BOGOTA D.C.,17.5160476522449,LA ASCENSION,0.000175160476522449
21,2020,HUILA,16.12392798600828,LA ASCENSION,0.00016123927986008279
22,2020,NACIONAL,22.79560601313014,LA ASCENSION,0.0002279560601313014
23,2020,NARIÑO,22.25433064879978,LA ASCENSION,0.0002225433064879978
24,2020,SANTANDER,17.418962099089217,LA ASCENSION,0.00017418962099089217
25,2020,TOLIMA,33.00564978634777,LA ASCENSION,0.00033005649786347767
26,2020,VALLE DEL CAUCA,18.67093106595983,LA ASCENSION,0.0001867093106595983
27,2021,ANTIOQUIA,21.068449059900427,LA ASCENSION,0.00021068449059900428
28,2021,ATLANTICO,17.5705833267933,LA ASCENSION,0.00017570583326793302
29,2021,BOGOTA D.C.,17.837712036409933,LA ASCENSION,0.00017837712036409932
30,2021,HUILA,15.959942202532444,LA ASCENSION,0.00015959942202532445
31,2021,NACIONAL,22.365553242004058,LA ASCENSION,0.00022365553242004058
32,2021,NARIÑO,21.77754552800955,LA ASCENSION,0.00021777545528009552
33,2021,SANTANDER,17.49905145847498,LA ASCENSION,0.00017499051458474981
34,2021,TOLIMA,31.453049383466922,LA ASCENSION,0.0003145304938346692
35,2021,VALLE DEL CAUCA,25.71707411114978,LA ASCENSION,0.00025717074111149783
36,2022,ANTIOQUIA,24.633178654649612,LA ASCENSION,0.00024633178654649614
37,2022,ATLANTICO,17.09679497287871,LA ASCENSION,0.00017096794972878707
38,2022,BOGOTA D.C.,20.84724584172534,LA ASCENSION,0.0002084724584172534
39,2022,HUILA,18.06704240323548,LA ASCENSION,0.0001806704240323548
40,2022,NACIONAL,24.619703344114924,LA ASCENSION,0.00024619703344114924
41,2022,NARIÑO,22.281300575870034,LA ASCENSION,0.00022281300575870033
42,2022,SANTANDER,15.063360844601164,LA ASCENSION,0.00015063360844601162
43,2022,TOLIMA,36.81766822496183,LA ASCENSION,0.0003681766822496183
44,2022,VALLE DEL CAUCA,29.85332884748986,LA ASCENSION,0.0002985332884748986
45,2023,ANTIOQUIA,26.720630106700995,LA ASCENSION,0.00026720630106700995
46,2023,ATLANTICO,18.12831090320758,LA ASCENSION,0.0001812831090320758
47,2023,BOGOTA D.C.,24.724275081839867,LA ASCENSION,0.00024724275081839867
48,2023,HUILA,21.01306158055563,LA ASCENSION,0.00021013061580555628
49,2023,NACIONAL,27.4867864206705,LA ASCENSION,0.00027486786420670504
50,2023,NARIÑO,22.986769494085607,LA ASCENSION,0.00022986769494085608
51,2023,SANTANDER,13.668031668233732,LA ASCENSION,0.00013668031668233734
52,2023,TOLIMA,44.05695737262655,LA ASCENSION,0.0004405695737262655
53,2023,VALLE DEL CAUCA,33.21844006132708,LA ASCENSION,0.0003321844006132708
54,2024,ANTIOQUIA,29.297177245732783,LA ASCENSION,0.0002929717724573278
55,2024,ATLANTICO,19.21971830639909,LA ASCENSION,0.0001921971830639909
56,2024,BOGOTA D.C.,29.52195426055721,LA ASCENSION,0.00029521954260557207
57,2024,HUILA,24.910312542159915,LA ASCENSION,0.00024910312542159914
58,2024,NACIONAL,30.787560795814144,LA ASCENSION,0.00030787560795814145
59,2024,NARIÑO,24.012568381282275,LA ASCENSION,0.00024012568381282274
60,2024,SANTANDER,12.307217337090513,LA ASCENSION,0.00012307217337090515
61,2024,TOLIMA,53.41643426076127,LA ASCENSION,0.0005341643426076127
62,2024,VALLE DEL CAUCA,37.50202480406233,LA ASCENSION,0.0003750202480406233
63,2025,ANTIOQUIA,31.955463998765055,LA ASCENSION,0.00031955463998765055
64,2025,ATLANTICO,20.795328259596676,LA ASCENSION,0.00020795328259596676
65,2025,BOGOTA D.C.,35.48092010082377,LA ASCENSION,0.00035480920100823765
66,2025,HUILA,30.066603434047476,LA ASCENSION,0.00030066603434047474
67,2025,NACIONAL,34.6352814714561,LA ASCENSION,0.000346352814714561
68,2025,NARIÑO,25.322655216719628,LA ASCENSION,0.0002532265521671963
69,2025,SANTANDER,11.217166953454148,LA ASCENSION,0.00011217166953454148
70,2025,TOLIMA,65.5858155455377,LA ASCENSION,0.000655858155455377
71,2025,VALLE DEL CAUCA,42.35939361353468,LA ASCENSION,0.0004235939361353468
72,2026,ANTIOQUIA,35.009914792734314,LA ASCENSION,0.00035009914792734316
73,2026,ATLANTICO,22.69484611955779,LA ASCENSION,0.0002269484611955779
74,2026,BOGOTA D.C.,42.894718842309686,LA ASCENSION,0.00042894718842309684
75,2026,HUILA,36.86968703026277,LA ASCENSION,0.00036869687030262766
76,2026,NACIONAL,39.089933897039536,LA ASCENSION,0.00039089933897039537
77,2026,NARIÑO,26.957179836084748,LA ASCENSION,0.00026957179836084745
78,2026,SANTANDER,10.243192720263968,LA ASCENSION,0.00010243192720263968
79,2026,TOLIMA,81.50421639329566,LA ASCENSION,0.0008150421639329566
80,2026,VALLE DEL CAUCA,48.21371900294957,LA ASCENSION,0.00048213719002949566
0,2018,ATLANTICO,,DANE,0.0029575822185343202
1,2018,BOGOTA D.C.,,DANE,0.004395374017652272
2,2018,HUILA,,DANE,0.0019220528067070211
3,2018,NARIÑO,,DANE,0.0013620819919781656
4,2018,SANTANDER,,DANE,0.001609731069317728
5,2018,TOLIMA,,DANE,0.0024793506477482816
